iter	Passed	Remaining
882	13606	1802
883	13620	1787
884	13635	1771
885	13653	1756
886	13668	1741
887	13685	1726
888	13700	1710
889	13714	1695
890	13732	1679
891	13748	1664
892	13762	1648
893	13776	1633
894	13791	1618
895	13807	1602
896	13820	1586
897	13836	1571
898	13852	1556
899	13868	1540
900	13883	1525
901	13899	1510
902	13913	1494
903	13927	1479
904	13941	1463
905	13957	1448
906	13970	1432
907	13985	1417
908	14000	1401
909	14015	1386
910	14030	1370
911	14046	1355
912	14061	1339
913	14077	1324
914	14094	1309
915	14111	1294
916	14126	1278
917	14142	1263
918	14156	1247
919	14173	1232
920	14186	1216
921	14202	1201
922	14216	1185
923	14234	1170
924	14250	1155
925	14268	1140
926	14285	1124
927	14299	1109
928	14314	1094
929	14332	1078
930	14347	1063
931	14365	1048
932	14379	1032
933	14395	1017
934	14411	1001
935	14428	986
936	14445	971
937	14460	955
938	14477	940
939	14493	925
940	14510	909
941	14528	894
942	14542	879
943	14556	863
944	14573	848
945	14590	832
946	14606	817
947	14624	802
948	14641	786
949	14656	771
950	14671	755
951	14686	740
952	14698	724
953	14713	709
954	14728	694
955	14746	678
956	14762	663
957	14779	647
958	14795	632
959	14811	617
960	14825	601
961	14840	586
962	14853	570
963	14870	555
964	14884	539
965	14899	524
966	14915	508
967	14929	493
968	14943	478
969	14959	462
970	14976	447
971	14992	431
972	15007	416
973	15022	401
974	15035	385
975	15053	370
976	15068	354
977	15082	339
978	15096	323
979	15110	308
980	15124	292
981	15139	277
982	15156	262
983	15171	246
984	15186	231
985	15201	215
986	15216	200
987	15233	185
988	15249	169
989	15264	154
990	15282	138
991	15296	123
992	15314	107
993	15330	92
994	15345	77
995	15361	61
996	15377	46
997	15392	30
998	15408	15
999	15422	0
